User,Type,Total Amount,Number of Transactions
User 1183,CREDIT,220320,38
User 1183,DEBIT,187513,40
User 1184,CREDIT,184173,37
User 1184,DEBIT,271983,46
User 1185,CREDIT,206101,38
User 1185,DEBIT,236026,44
User 1186,CREDIT,209365,38
User 1186,DEBIT,245626,43
User 1187,CREDIT,213500,46
User 1187,DEBIT,216842,42
User 1188,CREDIT,234787,44
User 1188,DEBIT,277870,50
User 1189,CREDIT,240019,43
User 1189,DEBIT,200769,37
User 1190,CREDIT,215618,45
User 1190,DEBIT,248578,45
User 1191,CREDIT,191592,41
User 1191,DEBIT,176242,34
User 1192,CREDIT,162422,29
User 1192,DEBIT,144371,36
User 1193,CREDIT,177485,41
User 1193,DEBIT,178676,38
User 1194,CREDIT,162797,30
User 1194,DEBIT,130068,26
User 1195,CREDIT,312326,56
User 1195,DEBIT,146475,33
User 1196,CREDIT,162505,27
User 1196,DEBIT,118475,23
User 1197,CREDIT,236563,41
User 1197,DEBIT,192943,48
User 1198,CREDIT,120777,26
User 1198,DEBIT,103679,26
User 1199,CREDIT,182279,34
User 1199,DEBIT,175218,30
User 1200,CREDIT,216280,44
User 1200,DEBIT,235980,50
User 1201,CREDIT,160709,32
User 1201,DEBIT,119835,25
User 1202,CREDIT,190383,34
User 1202,DEBIT,182155,37
User 1203,CREDIT,206033,45
User 1203,DEBIT,256350,50
User 1204,CREDIT,177416,36
User 1204,DEBIT,254521,47
User 1205,CREDIT,134696,26
User 1205,DEBIT,195305,37
User 1206,CREDIT,185519,39
User 1206,DEBIT,157817,35
User 1207,CREDIT,205076,47
User 1207,DEBIT,184754,39
User 1208,CREDIT,157848,30
User 1208,DEBIT,148668,34
User 1209,CREDIT,195077,42
User 1209,DEBIT,195653,36
User 1210,CREDIT,202494,40
User 1210,DEBIT,222050,48
User 1211,CREDIT,224067,49
User 1211,DEBIT,217876,46
User 1212,CREDIT,153622,29
User 1212,DEBIT,132735,28
User 1213,CREDIT,242915,46
User 1213,DEBIT,231118,46
User 1214,CREDIT,178882,34
User 1214,DEBIT,208452,37
User 1215,CREDIT,301100,54
User 1215,DEBIT,204704,46
User 1216,CREDIT,259351,48
User 1216,DEBIT,213636,43
User 1217,CREDIT,158444,28
User 1217,DEBIT,236523,50
User 1218,CREDIT,218386,42
User 1218,DEBIT,165669,42
User 1219,CREDIT,165634,31
User 1219,DEBIT,138343,28
User 1220,CREDIT,306304,58
User 1220,DEBIT,188650,35
User 1221,CREDIT,153924,32
User 1221,DEBIT,131779,28
User 1222,CREDIT,201429,43
User 1222,DEBIT,192161,40
User 1223,CREDIT,139202,29
User 1223,DEBIT,260045,51
User 1224,CREDIT,235459,48
User 1224,DEBIT,243407,50
User 1225,CREDIT,114152,29
User 1225,DEBIT,147350,30
User 1226,CREDIT,108858,25
User 1226,DEBIT,171397,36
User 1227,CREDIT,256712,47
User 1227,DEBIT,231335,47
User 1228,CREDIT,251716,46
User 1228,DEBIT,161440,29
User 1229,CREDIT,165688,35
User 1229,DEBIT,63788,16
User 1230,CREDIT,156283,29
User 1230,DEBIT,186410,37
User 1231,CREDIT,255548,54
User 1231,DEBIT,188163,42
User 1232,CREDIT,159384,35
User 1232,DEBIT,171415,41
User 1233,CREDIT,236484,48
User 1233,DEBIT,256571,46
User 1234,CREDIT,228236,46
User 1234,DEBIT,224923,49
User 1235,CREDIT,223919,44
User 1235,DEBIT,177299,46
User 1236,CREDIT,239407,46
User 1236,DEBIT,165737,32
User 1237,CREDIT,164402,35
User 1237,DEBIT,266248,48
User 1238,CREDIT,204609,47
User 1238,DEBIT,235833,43
User 1239,CREDIT,209870,46
User 1239,DEBIT,172501,32
User 1240,CREDIT,174028,35
User 1240,DEBIT,182084,33
User 1241,CREDIT,229932,40
User 1241,DEBIT,264369,52
User 1242,CREDIT,85972,23
User 1242,DEBIT,162446,34
User 1243,CREDIT,125830,24
User 1243,DEBIT,117545,29
User 1244,CREDIT,157346,29
User 1244,DEBIT,117233,28
User 1245,CREDIT,276828,49
User 1245,DEBIT,276432,51
User 1246,CREDIT,170736,36
User 1246,DEBIT,137073,34
User 1247,CREDIT,240963,50
User 1247,DEBIT,225767,45
User 1248,CREDIT,195757,42
User 1248,DEBIT,212280,38
User 1249,CREDIT,139840,30
User 1249,DEBIT,137498,30
User 1250,CREDIT,266074,51
User 1250,DEBIT,251538,49
User 1251,CREDIT,212055,42
User 1251,DEBIT,256347,52
User 1252,CREDIT,176200,38
User 1252,DEBIT,191564,40
User 1253,CREDIT,199159,46
User 1253,DEBIT,210038,35
User 1254,CREDIT,169271,40
User 1254,DEBIT,125374,27
User 1255,CREDIT,156251,28
User 1255,DEBIT,180984,31
User 1256,CREDIT,245416,49
User 1256,DEBIT,240023,48
User 1257,CREDIT,234239,47
User 1257,DEBIT,229924,42
User 1258,CREDIT,131245,30
User 1258,DEBIT,124746,26
User 1259,CREDIT,115363,24
User 1259,DEBIT,121546,28
User 1260,CREDIT,148120,30
User 1260,DEBIT,128847,25
User 1261,CREDIT,167467,34
User 1261,DEBIT,102547,20
User 1262,CREDIT,226868,45
User 1262,DEBIT,234808,51
User 1263,CREDIT,206512,43
User 1263,DEBIT,203828,40
User 1264,CREDIT,117356,23
User 1264,DEBIT,128949,33
User 1265,CREDIT,100592,24
User 1265,DEBIT,141260,33
User 1266,CREDIT,132212,32
User 1266,DEBIT,138217,28
User 1267,CREDIT,165588,29
User 1267,DEBIT,223664,45
User 1268,CREDIT,259419,57
User 1268,DEBIT,192106,38
User 1269,CREDIT,170170,41
User 1269,DEBIT,157997,34
User 1270,CREDIT,199786,43
User 1270,DEBIT,200780,44
User 1271,CREDIT,167476,30
User 1271,DEBIT,226441,42
User 1272,CREDIT,179999,46
User 1272,DEBIT,282130,54
User 1273,CREDIT,196815,39
User 1273,DEBIT,218738,41
User 1274,CREDIT,251121,44
User 1274,DEBIT,211981,41
User 1275,CREDIT,106273,23
User 1275,DEBIT,181204,33
User 1276,CREDIT,254942,48
User 1276,DEBIT,286757,50
User 1277,CREDIT,125376,29
User 1277,DEBIT,146361,31
User 1278,CREDIT,155936,30
User 1278,DEBIT,172470,32
User 1279,CREDIT,185128,37
User 1279,DEBIT,182263,42
User 1280,CREDIT,181121,38
User 1280,DEBIT,143405,30
User 1281,CREDIT,180788,36
User 1281,DEBIT,245254,46
User 1282,CREDIT,176488,35
User 1282,DEBIT,225583,41
User 1283,CREDIT,165412,37
User 1283,DEBIT,153498,30
User 1284,CREDIT,282565,50
User 1284,DEBIT,248793,46
User 1285,CREDIT,160751,33
User 1285,DEBIT,211588,38
User 1286,CREDIT,138730,29
User 1286,DEBIT,177004,33
User 1287,CREDIT,179165,40
User 1287,DEBIT,213640,37
User 1288,CREDIT,140527,31
User 1288,DEBIT,136592,21
User 1289,CREDIT,252572,49
User 1289,DEBIT,230890,40
User 1290,CREDIT,281672,49
User 1290,DEBIT,207780,46
User 1291,CREDIT,248335,50
User 1291,DEBIT,228950,46
User 1292,CREDIT,154205,36
User 1292,DEBIT,217173,43
User 1293,CREDIT,198516,35
User 1293,DEBIT,123819,29
User 1294,CREDIT,117437,22
User 1294,DEBIT,148728,28
User 1295,CREDIT,158158,34
User 1295,DEBIT,189402,39
User 1296,CREDIT,187876,40
User 1296,DEBIT,294733,58
User 1297,CREDIT,220849,45
User 1297,DEBIT,171027,30
User 1298,CREDIT,212826,40
User 1298,DEBIT,187041,37
User 1299,CREDIT,194011,38
User 1299,DEBIT,133219,29
User 1300,CREDIT,272642,50
User 1300,DEBIT,240533,44
User 1301,CREDIT,213921,40
User 1301,DEBIT,180377,32
User 1302,CREDIT,271138,53
User 1302,DEBIT,203407,40
User 1303,CREDIT,264999,47
User 1303,DEBIT,266409,49
User 1304,CREDIT,196379,44
User 1304,DEBIT,189255,37
User 1305,CREDIT,236056,38
User 1305,DEBIT,238237,47
User 1306,CREDIT,156697,33
User 1306,DEBIT,183335,38
User 1307,CREDIT,267970,50
User 1307,DEBIT,233862,50
User 1308,CREDIT,239468,52
User 1308,DEBIT,222733,43
User 1309,CREDIT,129116,27
User 1309,DEBIT,113114,24
User 1310,CREDIT,253618,53
User 1310,DEBIT,179268,39
User 1311,CREDIT,176247,34
User 1311,DEBIT,228242,46
User 1312,CREDIT,230112,49
User 1312,DEBIT,187830,42
User 1313,CREDIT,169325,36
User 1313,DEBIT,176327,39
User 1314,CREDIT,223294,46
User 1314,DEBIT,244510,51
User 1315,CREDIT,134637,27
User 1315,DEBIT,192197,37
User 1316,CREDIT,186328,33
User 1316,DEBIT,120126,23
User 1317,CREDIT,180491,37
User 1317,DEBIT,206585,41
User 1318,CREDIT,198619,39
User 1318,DEBIT,108764,24
User 1319,CREDIT,189084,32
User 1319,DEBIT,170690,27
User 1320,CREDIT,286388,57
User 1320,DEBIT,126031,28
User 1321,CREDIT,206271,39
User 1321,DEBIT,205702,40
User 1322,CREDIT,142589,30
User 1322,DEBIT,152490,27
User 1323,CREDIT,162363,33
User 1323,DEBIT,150005,29
User 1324,CREDIT,251445,49
User 1324,DEBIT,178728,38
User 1325,CREDIT,191889,45
User 1325,DEBIT,197983,41
User 1326,CREDIT,175858,38
User 1326,DEBIT,208495,41
User 1327,CREDIT,130609,27
User 1327,DEBIT,92906,23
User 1328,CREDIT,150907,31
User 1328,DEBIT,143133,26
User 1329,CREDIT,210016,33
User 1329,DEBIT,171001,40
User 1330,CREDIT,195233,40
User 1330,DEBIT,255570,50
User 1331,CREDIT,216778,49
User 1331,DEBIT,241805,49
User 1332,CREDIT,139264,24
User 1332,DEBIT,143754,27
User 1333,CREDIT,103463,21
User 1333,DEBIT,165687,37
User 1334,CREDIT,217535,45
User 1334,DEBIT,230264,47
User 1335,CREDIT,129720,26
User 1335,DEBIT,124806,28
User 1336,CREDIT,132297,24
User 1336,DEBIT,160333,29
User 1337,CREDIT,140339,28
User 1337,DEBIT,216759,38
User 1338,CREDIT,207495,40
User 1338,DEBIT,194405,36
User 1339,CREDIT,184286,39
User 1339,DEBIT,241112,49
User 1340,CREDIT,192537,36
User 1340,DEBIT,268086,46
User 1341,CREDIT,238113,39
User 1341,DEBIT,246564,46
User 1342,CREDIT,238801,45
User 1342,DEBIT,199582,35
User 1343,CREDIT,191557,40
User 1343,DEBIT,117589,29
User 1344,CREDIT,241439,42
User 1344,DEBIT,226204,44
User 1345,CREDIT,121501,22
User 1345,DEBIT,196668,41
User 1346,CREDIT,200057,38
User 1346,DEBIT,173098,36
User 1347,CREDIT,191215,38
User 1347,DEBIT,131153,25
User 1348,CREDIT,119297,23
User 1348,DEBIT,143761,27
User 1349,CREDIT,184008,35
User 1349,DEBIT,170748,37
User 1350,CREDIT,116713,27
User 1350,DEBIT,156239,33
User 1351,CREDIT,192091,40
User 1351,DEBIT,247450,55
User 1352,CREDIT,86952,23
User 1352,DEBIT,138596,29
User 1353,CREDIT,179882,36
User 1353,DEBIT,131374,30
User 1354,CREDIT,202049,35
User 1354,DEBIT,147209,30
User 1355,CREDIT,118250,26
User 1355,DEBIT,162743,28
User 1356,CREDIT,210352,39
User 1356,DEBIT,299681,58
User 1357,CREDIT,215395,44
User 1357,DEBIT,163177,36
User 1358,CREDIT,141589,30
User 1358,DEBIT,168857,30
User 1359,CREDIT,171422,34
User 1359,DEBIT,222826,46
User 1360,CREDIT,138949,32
User 1360,DEBIT,89739,22
User 1361,CREDIT,140461,31
User 1361,DEBIT,129262,28
User 1362,CREDIT,278300,56
User 1362,DEBIT,181643,34
User 1363,CREDIT,226512,41
User 1363,DEBIT,256941,49
User 1364,CREDIT,246871,43
User 1364,DEBIT,244630,55
User 1365,CREDIT,239621,44
User 1365,DEBIT,239889,43
User 1366,CREDIT,196629,33
User 1366,DEBIT,198397,44
User 1367,CREDIT,158079,35
User 1367,DEBIT,227679,42
User 1368,CREDIT,188617,38
User 1368,DEBIT,217169,41
User 1369,CREDIT,161878,29
User 1369,DEBIT,179908,36
User 1370,CREDIT,154193,28
User 1370,DEBIT,169557,33
User 1371,CREDIT,160031,31
User 1371,DEBIT,244325,45
User 1372,CREDIT,171788,31
User 1372,DEBIT,96781,21
User 1373,CREDIT,117403,24
User 1373,DEBIT,136132,27
User 1374,CREDIT,180565,36
User 1374,DEBIT,222907,42
User 1375,CREDIT,133636,27
User 1375,DEBIT,156168,29
User 1376,CREDIT,225512,48
User 1376,DEBIT,222995,51
User 1377,CREDIT,195643,44
User 1377,DEBIT,227617,46
User 1378,CREDIT,239740,51
User 1378,DEBIT,229901,46
User 1379,CREDIT,273447,56
User 1379,DEBIT,204775,40
User 1380,CREDIT,161614,30
User 1380,DEBIT,132129,25
User 1381,CREDIT,248498,50
User 1381,DEBIT,228501,39
User 1382,CREDIT,239899,44
User 1382,DEBIT,262114,51
User 1383,CREDIT,283827,53
User 1383,DEBIT,217241,42
User 1384,CREDIT,111355,27
User 1384,DEBIT,118331,34
User 1385,CREDIT,192018,39
User 1385,DEBIT,235240,41
User 1386,CREDIT,206130,40
User 1386,DEBIT,241048,47
User 1387,CREDIT,156739,29
User 1387,DEBIT,169041,31
User 1388,CREDIT,288297,54
User 1388,DEBIT,209130,44
User 1389,CREDIT,177936,32
User 1389,DEBIT,232950,48
User 1390,CREDIT,210899,39
User 1390,DEBIT,126512,29
User 1391,CREDIT,237953,48
User 1391,DEBIT,223856,46
User 1392,CREDIT,166231,33
User 1392,DEBIT,74528,19
User 1393,CREDIT,143826,26
User 1393,DEBIT,129663,28
User 1394,CREDIT,167516,36
User 1394,DEBIT,177432,36
User 1395,CREDIT,223916,44
User 1395,DEBIT,251531,47
User 1396,CREDIT,281100,51
User 1396,DEBIT,202571,49
User 1397,CREDIT,181051,36
User 1397,DEBIT,157959,33
User 1398,CREDIT,129576,30
User 1398,DEBIT,165363,32
User 1399,CREDIT,271769,50
User 1399,DEBIT,223894,49
User 1400,CREDIT,201551,40
User 1400,DEBIT,172751,37
User 1401,CREDIT,247196,46
User 1401,DEBIT,254852,52
User 1402,CREDIT,137467,28
User 1402,DEBIT,123603,27
User 1403,CREDIT,313518,56
User 1403,DEBIT,222416,44
User 1404,CREDIT,154579,31
User 1404,DEBIT,124111,23
User 1405,CREDIT,196283,43
User 1405,DEBIT,208092,46
User 1406,CREDIT,210717,44
User 1406,DEBIT,208231,37
User 1407,CREDIT,126536,26
User 1407,DEBIT,151848,34
User 1408,CREDIT,246160,49
User 1408,DEBIT,261943,47
User 1409,CREDIT,211450,44
User 1409,DEBIT,271668,53
User 1410,CREDIT,139543,28
User 1410,DEBIT,188633,42
User 1411,CREDIT,166105,34
User 1411,DEBIT,167203,31
User 1412,CREDIT,250322,48
User 1412,DEBIT,201147,41
User 1413,CREDIT,238338,47
User 1413,DEBIT,170441,34
User 1414,CREDIT,214104,38
User 1414,DEBIT,169108,30
User 1415,CREDIT,229109,46
User 1415,DEBIT,229580,50
User 1416,CREDIT,278884,51
User 1416,DEBIT,211459,41
User 1417,CREDIT,214030,42
User 1417,DEBIT,260370,48
User 1418,CREDIT,144277,37
User 1418,DEBIT,171522,36
User 1419,CREDIT,184011,33
User 1419,DEBIT,178813,38
User 1420,CREDIT,215393,43
User 1420,DEBIT,146077,31
User 1421,CREDIT,235651,47
User 1421,DEBIT,233009,45
User 1422,CREDIT,162620,31
User 1422,DEBIT,159430,34
User 1423,CREDIT,159981,30
User 1423,DEBIT,153812,34
User 1424,CREDIT,156048,27
User 1424,DEBIT,152235,31
User 1425,CREDIT,226845,39
User 1425,DEBIT,181496,38
User 1426,CREDIT,246314,52
User 1426,DEBIT,209511,44
User 1427,CREDIT,237659,48
User 1427,DEBIT,244657,48
User 1428,CREDIT,156686,32
User 1428,DEBIT,152331,31
User 1429,CREDIT,188033,33
User 1429,DEBIT,210432,42
User 1430,CREDIT,218276,42
User 1430,DEBIT,210134,45
User 1431,CREDIT,160779,38
User 1431,DEBIT,225744,44
User 1432,CREDIT,222381,44
User 1432,DEBIT,241263,46
User 1433,CREDIT,116971,26
User 1433,DEBIT,149936,27
User 1434,CREDIT,115269,23
User 1434,DEBIT,159330,30
User 1435,CREDIT,204461,41
User 1435,DEBIT,207726,46
User 1436,CREDIT,184106,38
User 1436,DEBIT,141321,24
User 1437,CREDIT,207022,38
User 1437,DEBIT,155562,30
User 1438,CREDIT,278241,50
User 1438,DEBIT,168207,31
User 1439,CREDIT,236058,45
User 1439,DEBIT,201723,41
User 1440,CREDIT,217588,42
User 1440,DEBIT,234198,46
User 1441,CREDIT,162702,31
User 1441,DEBIT,73409,19
User 1442,CREDIT,121144,27
User 1442,DEBIT,161676,41
User 1443,CREDIT,165950,34
User 1443,DEBIT,141893,34
User 1444,CREDIT,224082,43
User 1444,DEBIT,111777,26
User 1445,CREDIT,292633,55
User 1445,DEBIT,197162,42
User 1446,CREDIT,144830,27
User 1446,DEBIT,120528,24
User 1447,CREDIT,222409,40
User 1447,DEBIT,235691,47
User 1448,CREDIT,134685,29
User 1448,DEBIT,126862,27
User 1449,CREDIT,252912,57
User 1449,DEBIT,195184,43
User 1450,CREDIT,137422,30
User 1450,DEBIT,110115,25
User 1451,CREDIT,225413,50
User 1451,DEBIT,187935,34
User 1452,CREDIT,230668,53
User 1452,DEBIT,210991,43
User 1453,CREDIT,115365,26
User 1453,DEBIT,126280,27
User 1454,CREDIT,232157,50
User 1454,DEBIT,190325,43
User 1455,CREDIT,125224,29
User 1455,DEBIT,143036,27
User 1456,CREDIT,165528,36
User 1456,DEBIT,216549,38
User 1457,CREDIT,196691,41
User 1457,DEBIT,129358,29
User 1458,CREDIT,254805,52
User 1458,DEBIT,163486,38
User 1459,CREDIT,144885,29
User 1459,DEBIT,132427,22
User 1460,CREDIT,245808,47
User 1460,DEBIT,255818,52
User 1461,CREDIT,236946,46
User 1461,DEBIT,215245,42
User 1462,CREDIT,184758,37
User 1462,DEBIT,204262,39
User 1463,CREDIT,238045,43
User 1463,DEBIT,85281,25
User 1464,CREDIT,177042,37
User 1464,DEBIT,179139,36
User 1465,CREDIT,240363,47
User 1465,DEBIT,250965,45
User 1466,CREDIT,105984,23
User 1466,DEBIT,207880,39
User 1467,CREDIT,232148,47
User 1467,DEBIT,197403,39
User 1468,CREDIT,268085,51
User 1468,DEBIT,220160,48
User 1469,CREDIT,222001,49
User 1469,DEBIT,207829,42
User 1470,CREDIT,246447,42
User 1470,DEBIT,264875,52
User 1471,CREDIT,155912,30
User 1471,DEBIT,105013,21
User 1472,CREDIT,136141,26
User 1472,DEBIT,160675,30
User 1473,CREDIT,219962,45
User 1473,DEBIT,166595,40
User 1474,CREDIT,250278,44
User 1474,DEBIT,120852,29
User 1475,CREDIT,246287,50
User 1475,DEBIT,245236,49
User 1476,CREDIT,187142,38
User 1476,DEBIT,232634,49
User 1477,CREDIT,161749,33
User 1477,DEBIT,194229,38
User 1478,CREDIT,151733,35
User 1478,DEBIT,107484,21
User 1479,CREDIT,116076,26
User 1479,DEBIT,141111,27
User 1480,CREDIT,248766,51
User 1480,DEBIT,250957,48
User 1481,CREDIT,308659,61
User 1481,DEBIT,214704,39
User 1482,CREDIT,284022,48
User 1482,DEBIT,221424,51
User 1483,CREDIT,251548,51
User 1483,DEBIT,220925,44
User 1484,CREDIT,200849,39
User 1484,DEBIT,170065,38
User 1485,CREDIT,155551,36
User 1485,DEBIT,246232,48
User 1486,CREDIT,133755,29
User 1486,DEBIT,119730,26
User 1487,CREDIT,136204,27
User 1487,DEBIT,138169,27
User 1488,CREDIT,139303,27
User 1488,DEBIT,131780,25
User 1489,CREDIT,268306,47
User 1489,DEBIT,231594,48
User 1490,CREDIT,237821,39
User 1490,DEBIT,235737,47
User 1491,CREDIT,184336,44
User 1491,DEBIT,155825,36
User 1492,CREDIT,159454,29
User 1492,DEBIT,181093,38
User 1493,CREDIT,206424,36
User 1493,DEBIT,197286,41
User 1494,CREDIT,213046,39
User 1494,DEBIT,96327,27
User 1495,CREDIT,158372,36
User 1495,DEBIT,232305,41
User 1496,CREDIT,164268,31
User 1496,DEBIT,180744,35
User 1497,CREDIT,316182,55
User 1497,DEBIT,192349,39
User 1498,CREDIT,232993,46
User 1498,DEBIT,201652,43
User 1499,CREDIT,145931,30
User 1499,DEBIT,214345,44
User 1500,CREDIT,259984,47
User 1500,DEBIT,203705,40
User 1501,CREDIT,222793,47
User 1501,DEBIT,255497,50
User 1502,CREDIT,164105,31
User 1502,DEBIT,220726,42
User 1503,CREDIT,107091,27
User 1503,DEBIT,146890,24
User 1504,CREDIT,199373,39
User 1504,DEBIT,221298,47
User 1505,CREDIT,152012,34
User 1505,DEBIT,174496,28
User 1506,CREDIT,115601,25
User 1506,DEBIT,179300,36
User 1507,CREDIT,173404,34
User 1507,DEBIT,242817,42
User 1508,CREDIT,179534,33
User 1508,DEBIT,168575,34
User 1509,CREDIT,218021,43
User 1509,DEBIT,173254,34
User 1510,CREDIT,204275,45
User 1510,DEBIT,232466,49
User 1511,CREDIT,144505,30
User 1511,DEBIT,134442,32
User 1512,CREDIT,271362,53
User 1512,DEBIT,163922,42
User 1513,CREDIT,232879,46
User 1513,DEBIT,271760,50
User 1514,CREDIT,187893,40
User 1514,DEBIT,305549,58
User 1515,CREDIT,279072,58
User 1515,DEBIT,182905,39
User 1516,CREDIT,153184,33
User 1516,DEBIT,150761,31
User 1517,CREDIT,185472,38
User 1517,DEBIT,254930,48
User 1518,CREDIT,271431,48
User 1518,DEBIT,202759,38
User 1519,CREDIT,230024,45
User 1519,DEBIT,256592,46
User 1520,CREDIT,195486,42
User 1520,DEBIT,248345,47
User 1521,CREDIT,212303,42
User 1521,DEBIT,247953,48
User 1522,CREDIT,199484,43
User 1522,DEBIT,182561,38
User 1523,CREDIT,110140,27
User 1523,DEBIT,153792,32
User 1524,CREDIT,208910,36
User 1524,DEBIT,199288,34
User 1525,CREDIT,185901,38
User 1525,DEBIT,151735,30
User 1526,CREDIT,152297,31
User 1526,DEBIT,201925,42
User 1527,CREDIT,162540,36
User 1527,DEBIT,108963,25
User 1528,CREDIT,213500,38
User 1528,DEBIT,202786,46
User 1529,CREDIT,153171,37
User 1529,DEBIT,185577,41
User 1530,CREDIT,150473,28
User 1530,DEBIT,184458,34
User 1531,CREDIT,167109,35
User 1531,DEBIT,259414,51
User 1532,CREDIT,208870,37
User 1532,DEBIT,183441,32
User 1533,CREDIT,211197,47
User 1533,DEBIT,216507,41
User 1534,CREDIT,211113,44
User 1534,DEBIT,227488,45
User 1535,CREDIT,139845,26
User 1535,DEBIT,210342,40
User 1536,CREDIT,248903,48
User 1536,DEBIT,306262,52
User 1537,CREDIT,218119,38
User 1537,DEBIT,202228,39
User 1538,CREDIT,203247,43
User 1538,DEBIT,204033,44
User 1539,CREDIT,251436,51
User 1539,DEBIT,206950,42
User 1540,CREDIT,147442,31
User 1540,DEBIT,186463,36
User 1541,CREDIT,175621,37
User 1541,DEBIT,165266,35
User 1542,CREDIT,295532,56
User 1542,DEBIT,229787,42
User 1543,CREDIT,106373,25
User 1543,DEBIT,170705,33
User 1544,CREDIT,274972,49
User 1544,DEBIT,220901,46
User 1545,CREDIT,227302,44
User 1545,DEBIT,179754,34
User 1546,CREDIT,212014,33
User 1546,DEBIT,153756,28
User 1547,CREDIT,205830,43
User 1547,DEBIT,212382,44
User 1548,CREDIT,189201,34
User 1548,DEBIT,245682,48
User 1549,CREDIT,175244,39
User 1549,DEBIT,245919,50
User 1550,CREDIT,234340,43
User 1550,DEBIT,241447,44
User 1551,CREDIT,242424,52
User 1551,DEBIT,205331,46
User 1552,CREDIT,160136,29
User 1552,DEBIT,153982,30
User 1553,CREDIT,182869,36
User 1553,DEBIT,138682,29
User 1554,CREDIT,156948,37
User 1554,DEBIT,164636,32
User 1555,CREDIT,110792,27
User 1555,DEBIT,115244,23
User 1556,CREDIT,241090,50
User 1556,DEBIT,196075,39
User 1557,CREDIT,220044,40
User 1557,DEBIT,160499,31
User 1558,CREDIT,127133,24
User 1558,DEBIT,161268,28
User 1559,CREDIT,201680,38
User 1559,DEBIT,120565,21
User 1560,CREDIT,218285,39
User 1560,DEBIT,283496,59
User 1561,CREDIT,270266,54
User 1561,DEBIT,227677,43
User 1562,CREDIT,177394,38
User 1562,DEBIT,238140,41
User 1563,CREDIT,184150,42
User 1563,DEBIT,156371,34
User 1564,CREDIT,159884,29
User 1564,DEBIT,182611,41
User 1565,CREDIT,123275,33
User 1565,DEBIT,121896,28
User 1566,CREDIT,209509,43
User 1566,DEBIT,259384,55
User 1567,CREDIT,156009,34
User 1567,DEBIT,155430,36
User 1568,CREDIT,165785,33
User 1568,DEBIT,187442,40
User 1569,CREDIT,223568,49
User 1569,DEBIT,272962,49
User 1570,CREDIT,74139,17
User 1570,DEBIT,193692,38
User 1571,CREDIT,142428,33
User 1571,DEBIT,152623,28
User 1572,CREDIT,173365,35
User 1572,DEBIT,190946,39
User 1573,CREDIT,265574,49
User 1573,DEBIT,221859,47
User 1574,CREDIT,210009,43
User 1574,DEBIT,178047,33
User 1575,CREDIT,122702,23
User 1575,DEBIT,121926,27
User 1576,CREDIT,234867,45
User 1576,DEBIT,211796,44
User 1577,CREDIT,172097,38
User 1577,DEBIT,98641,24
User 1578,CREDIT,134839,25
User 1578,DEBIT,131423,26
User 1579,CREDIT,255446,50
User 1579,DEBIT,237826,46
User 1580,CREDIT,245148,49
User 1580,DEBIT,205785,39
User 1581,CREDIT,136426,29
User 1581,DEBIT,202020,40
User 1582,CREDIT,266440,47
User 1582,DEBIT,262919,48
User 1583,CREDIT,210478,40
User 1583,DEBIT,113070,26
User 1584,CREDIT,289125,51
User 1584,DEBIT,216544,48
User 1585,CREDIT,165913,39
User 1585,DEBIT,303361,60
User 1586,CREDIT,170080,35
User 1586,DEBIT,156042,32
User 1587,CREDIT,154148,33
User 1587,DEBIT,170079,36
User 1588,CREDIT,254825,53
User 1588,DEBIT,247125,47
User 1589,CREDIT,157672,29
User 1589,DEBIT,147908,29
User 1590,CREDIT,264365,54
User 1590,DEBIT,191017,44
User 1591,CREDIT,307155,58
User 1591,DEBIT,211476,42
User 1592,CREDIT,125720,28
User 1592,DEBIT,135036,22
User 1593,CREDIT,160375,38
User 1593,DEBIT,200253,40
User 1594,CREDIT,106555,25
User 1594,DEBIT,173976,32
User 1595,CREDIT,132996,30
User 1595,DEBIT,169562,38
User 1596,CREDIT,161551,35
User 1596,DEBIT,152848,31
User 1597,CREDIT,102047,25
User 1597,DEBIT,125467,26
User 1598,CREDIT,139766,33
User 1598,DEBIT,205108,39
User 1599,CREDIT,147379,30
User 1599,DEBIT,167511,33
User 1600,CREDIT,218779,37
User 1600,DEBIT,160591,41
User 1601,CREDIT,201871,45
User 1601,DEBIT,241824,48
User 1602,CREDIT,151361,28
User 1602,DEBIT,147748,28
User 1603,CREDIT,240270,52
User 1603,DEBIT,244833,44
User 1604,CREDIT,148000,31
User 1604,DEBIT,110948,27
User 1605,CREDIT,212582,41
User 1605,DEBIT,127040,22
User 1606,CREDIT,211133,43
User 1606,DEBIT,188049,37
User 1607,CREDIT,146805,33
User 1607,DEBIT,155116,31
User 1608,CREDIT,253353,47
User 1608,DEBIT,285051,53
User 1609,CREDIT,175744,35
User 1609,DEBIT,122688,26
User 1610,CREDIT,170292,33
User 1610,DEBIT,136124,27
User 1611,CREDIT,203781,45
User 1611,DEBIT,172215,33
User 1612,CREDIT,146767,29
User 1612,DEBIT,156982,33
User 1613,CREDIT,245145,44
User 1613,DEBIT,133820,35
User 1614,CREDIT,160979,30
User 1614,DEBIT,274056,50
User 1615,CREDIT,225774,42
User 1615,DEBIT,221908,47
User 1616,CREDIT,167769,32
User 1616,DEBIT,117904,21
User 1617,CREDIT,165459,37
User 1617,DEBIT,197562,39
User 1618,CREDIT,151701,31
User 1618,DEBIT,151411,30
User 1619,CREDIT,245775,51
